Voltage,PWM,Up1,Down1,Up2,Down2,Up3,Down3,Average
3,0,526,526,526,526,525,526,525.83
3,1,525,526,525,526,526,526,525.67
3,2,525,526,526,525,526,526,525.67
3,3,526,526,526,525,526,526,525.83
3,4,526,526,525,526,526,525,525.67
3,5,525,526,526,526,526,525,525.67
3,6,525,526,526,525,526,526,525.67
3,7,525,526,525,526,526,525,525.5
3,8,526,526,525,526,526,526,525.83
3,9,526,525,526,525,526,525,525.5
3,10,526,526,526,526,526,526,526.0
3,11,526,526,526,526,526,526,526.0
3,12,525,526,526,525,526,526,525.67
3,13,526,525,526,526,526,526,525.83
3,14,526,525,526,525,525,526,525.5
3,15,525,526,526,526,525,526,525.67
3,16,525,526,526,526,525,525,525.5
3,17,526,525,526,525,526,526,525.67
3,18,526,526,526,526,526,526,526.0
3,19,525,526,526,526,526,526,525.83
3,20,526,526,526,526,526,526,526.0
3,21,525,526,526,525,526,526,525.67
3,22,526,526,526,526,526,525,525.83
3,23,525,526,525,526,525,526,525.5
3,24,526,526,526,526,526,525,525.83
3,25,526,525,525,526,526,526,525.67
3,26,526,526,525,525,526,526,525.67
3,27,525,526,526,526,525,526,525.67
3,28,526,526,526,526,526,525,525.83
3,29,526,526,526,526,525,525,525.67
3,30,526,526,525,525,525,525,525.33
3,31,525,525,525,526,526,525,525.33
3,32,525,525,525,525,525,525,525.0
3,33,525,525,525,525,525,525,525.0
3,34,525,525,525,525,525,525,525.0
3,35,525,525,525,525,525,525,525.0
3,36,525,524,525,525,524,525,524.67
3,37,525,525,525,525,525,525,525.0
3,38,525,525,524,524,524,524,524.33
3,39,524,524,524,524,524,524,524.0
3,40,524,524,524,524,524,524,524.0
3,41,524,524,524,524,523,524,523.83
3,42,524,523,524,523,524,523,523.5
3,43,523,523,523,524,523,523,523.17
3,44,523,523,523,523,523,523,523.0
3,45,523,523,523,523,523,522,522.83
3,46,523,522,523,522,523,522,522.5
3,47,523,522,523,522,522,522,522.33
3,48,522,522,522,522,522,522,522.0
3,49,522,521,522,522,522,521,521.67
3,50,522,521,521,521,521,521,521.17
3,51,521,521,521,521,521,521,521.0
3,52,521,521,521,521,521,520,520.83
3,53,520,520,521,520,521,520,520.33
3,54,520,520,520,520,520,520,520.0
3,55,520,519,520,520,520,520,519.83
3,56,520,519,520,519,520,519,519.5
3,57,519,519,519,519,519,519,519.0
3,58,519,518,519,519,519,519,518.83
3,59,519,518,519,518,519,518,518.5
3,60,518,518,518,518,519,518,518.17
3,61,518,518,518,517,518,518,517.83
3,62,518,517,518,517,518,517,517.5
3,63,518,517,517,517,517,517,517.17
