Voltage,PWM,Up1,Down1,Up2,Down2,Up3,Down3,Average
6.3,0,526,525,526,526,526,526,525.83
6.3,1,526,526,526,526,526,525,525.83
6.3,2,526,525,525,525,526,526,525.5
6.3,3,526,526,526,525,526,526,525.83
6.3,4,526,526,526,525,526,526,525.83
6.3,5,526,526,526,526,526,526,526.0
6.3,6,526,525,526,525,526,525,525.5
6.3,7,526,525,525,526,526,525,525.5
6.3,8,526,526,526,525,525,526,525.67
6.3,9,526,526,526,525,525,526,525.67
6.3,10,526,525,526,525,525,526,525.5
6.3,11,525,526,526,525,526,526,525.67
6.3,12,526,526,525,526,525,526,525.67
6.3,13,526,526,526,525,526,525,525.67
6.3,14,526,525,526,525,525,526,525.5
6.3,15,525,525,525,525,526,525,525.17
6.3,16,525,525,525,525,525,525,525.0
6.3,17,525,525,525,525,525,525,525.0
6.3,18,525,525,524,525,525,525,524.83
6.3,19,524,524,525,524,524,524,524.17
6.3,20,524,524,524,524,524,524,524.0
6.3,21,524,523,523,524,524,523,523.5
6.3,22,523,523,523,523,523,523,523.0
6.3,23,523,522,523,522,522,522,522.33
6.3,24,523,522,522,522,522,522,522.17
6.3,25,522,521,521,521,522,521,521.33
6.3,26,521,521,521,521,521,521,521.0
6.3,27,521,520,520,520,520,520,520.17
6.3,28,520,519,520,519,520,519,519.5
6.3,29,520,519,520,519,519,519,519.33
6.3,30,519,518,519,518,519,518,518.5
6.3,31,518,517,518,518,518,517,517.67
6.3,32,518,517,517,517,518,517,517.33
6.3,33,517,516,517,516,517,516,516.5
6.3,34,516,515,516,515,516,515,515.5
6.3,35,516,515,516,515,515,515,515.33
6.3,36,515,514,515,514,515,514,514.5
6.3,37,515,513,514,513,514,513,513.67
6.3,38,514,512,514,513,514,513,513.33
6.3,39,513,512,513,512,513,512,512.5
6.3,40,513,511,512,511,512,511,511.67
6.3,41,511,510,512,511,512,511,511.17
6.3,42,511,510,511,510,511,510,510.5
6.3,43,510,509,510,509,510,509,509.5
6.3,44,510,508,509,508,510,508,508.83
6.3,45,509,507,509,508,509,507,508.17
6.3,46,508,507,508,507,508,507,507.5
6.3,47,508,506,507,506,507,506,506.67
6.3,48,507,505,506,505,506,506,505.83
6.3,49,506,505,506,504,506,504,505.17
6.3,50,505,503,505,503,505,504,504.17
6.3,51,505,503,504,503,504,503,503.67
6.3,52,504,502,504,502,503,502,502.83
6.3,53,503,501,503,501,503,501,502.0
6.3,54,502,501,502,501,502,500,501.33
6.3,55,501,500,501,500,501,500,500.5
6.3,56,500,499,500,499,500,499,499.5
6.3,57,500,498,500,498,500,498,499.0
6.3,58,499,497,499,498,499,497,498.17
6.3,59,499,497,498,497,498,496,497.5
6.3,60,497,496,497,496,497,496,496.5
6.3,61,496,495,497,495,496,495,495.67
6.3,62,496,495,495,494,496,495,495.17
6.3,63,495,494,495,493,495,493,494.17
6.3,64,494,493,494,493,494,493,493.5
6.3,65,494,492,493,492,493,492,492.67
6.3,66,493,491,493,491,493,491,492.0
6.3,67,492,490,492,490,492,491,491.17
6.3,68,491,490,491,490,491,490,490.5
6.3,69,490,488,491,489,491,489,489.67
6.3,70,490,488,489,488,489,488,488.67
6.3,71,489,487,489,487,489,487,488.0
6.3,72,488,486,488,486,488,486,487.0
6.3,73,487,486,487,485,487,485,486.17
6.3,74,486,485,487,485,487,485,485.83
6.3,75,486,484,485,484,485,484,484.67
6.3,76,485,483,485,483,485,483,484.0
6.3,77,484,482,484,482,484,482,483.0
6.3,78,483,481,483,481,483,481,482.0
6.3,79,482,480,482,481,482,481,481.33
6.3,80,482,480,481,479,481,480,480.5
6.3,81,481,479,481,479,481,479,480.0
6.3,82,480,478,480,478,480,478,479.0
6.3,83,479,477,479,478,479,477,478.17
6.3,84,479,477,479,476,478,477,477.67
6.3,85,478,476,477,476,477,476,476.67
6.3,86,477,475,477,475,477,475,476.0
6.3,87,476,474,476,474,475,474,474.83
6.3,88,475,473,475,473,475,473,474.0
6.3,89,474,473,474,472,474,472,473.17
6.3,90,473,472,473,472,473,471,472.33
6.3,91,473,471,472,470,472,470,471.33
6.3,92,472,470,471,470,472,470,470.83
6.3,93,471,469,471,469,471,469,470.0
6.3,94,470,468,470,468,470,468,469.0
6.3,95,469,467,469,468,469,467,468.17
6.3,96,468,466,468,466,468,466,467.0
6.3,97,468,466,467,466,467,466,466.67
6.3,98,467,465,466,465,467,465,465.83
6.3,99,466,464,466,464,466,464,465.0
6.3,100,465,463,465,463,465,464,464.17
6.3,101,464,462,464,462,464,462,463.0
6.3,102,464,462,464,461,463,462,462.67
6.3,103,462,461,463,461,463,460,461.67
6.3,104,462,460,461,460,462,460,460.83
6.3,105,461,459,461,459,461,459,460.0
6.3,106,460,458,460,458,459,458,458.83
6.3,107,459,457,459,457,459,457,458.0
6.3,108,459,457,458,456,458,457,457.5
6.3,109,458,455,457,456,457,456,456.5
6.3,110,457,455,457,455,457,455,456.0
6.3,111,456,454,456,454,456,454,455.0
6.3,112,455,453,455,453,455,453,454.0
6.3,113,454,452,454,452,454,452,453.0
6.3,114,453,452,453,451,453,451,452.17
6.3,115,452,450,452,450,452,451,451.17
6.3,116,451,450,451,450,451,449,450.33
6.3,117,451,448,451,449,451,449,449.83
6.3,118,450,448,449,448,449,448,448.67
6.3,119,449,447,449,447,449,447,448.0
6.3,120,448,446,448,446,448,446,447.0
6.3,121,447,445,447,446,447,445,446.17
6.3,122,446,445,446,445,446,445,445.5
6.3,123,446,444,445,444,446,444,444.83
6.3,124,445,443,445,443,445,443,444.0
